texts,sentiment
"Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010",neutral
"`` This is super nasty , '' said Eric Schultze , chief technology officer at Shavlik Technologies LLC , a St. Paul , Minn.-based maker of patch management tools",negative
EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007,negative
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal",positive
The bank 's leasing arm Nordea Liising ended the year with a profit of 4.4 million euros,neutral
"The tower it chose to add , due to go into operation in the summer , will increase total capacity to 80 broadsheet or 160 tabloid pages , with the ability to run 32 - and 48-page products side by side",positive
"Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily",negative
"Profit for the period totalled EUR 1.1 mn , down from EUR 1.6 mn in the third quarter of 2008",negative
"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02",positive
"The company 's plant in Russia will continue to make tyres for its near markets , while the plant in Nokia in Finland will manufacture tyres for other markets",neutral
Operating profit of the Asian plants grew markedly,positive
The original patent was filed in Finland under application No.,neutral
"Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland",positive
Operating profit in the fourth quarter went down to EUR3m from EUR4 .2 m for the corresponding period of 2009 as it included costs of growth projects,negative
"Mr Ashley , deputy executive chairman of Sports Direct , sold a 43pc stake in the company for more than pounds 900m at the time of the float",neutral
The Finnish group anticipates a sales gain of EUR42m after tax and expenses,positive
The company decided at the end of 2008 to temporarily shut down its ammonia plant in Billingham and extend the maintenance period at its Ince facility,negative
The previous offer was 3.4 % of voting rights and 12.3 % of capital,neutral
"He answers questions on how many visitors Conversations gets , how big the team is and what the problems are when setting up social media channels",neutral
The transaction will take place without payment of merger consideration,neutral
It is also in the process of taking a seat on CapMan 's board - a course which has the support of CapMan management,neutral
"The market value of one crane is some USD6m , reported the Finnish news agency STT",neutral
Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76,negative
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier",negative
"The OMX Helsinki index was down 0.34 pct at 8,256.02 on turnover of 813.191 mln eur",negative
"Profit for the period totalled EUR 1.1 mn , down from EUR 1.6 mn in the third quarter of 2008",negative
"GUANGDONG , October 26 , SinoCast -- Nokia Telecommunications Dongguan branch entered into a letter of intent to open a Nokia Class in Qingyuan Polytechnic , Qingyuan City of Guangdong Province",neutral
"impacts on 2006 and 2007 earnings , '' Mr Meiklejohn said",negative
"The price of raw material aluminium went up at the end of 2005 , but the company considers its outlook for 2006 favourable",positive
"Lule+Ñ municipality has awarded YIT a 2-year contract , for property management of about one third of the municipality 's properties , with a total area of 140,000 sq. metres",positive
A high court in Finland has fined seven local asphalt companies more than   lion ( $ 117 million ) for operating a cartel,negative
The phones are targeted at first time users in growth markets,neutral
The number of magazine and newspaper readers remained unchanged,neutral
Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006,positive
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales,positive
Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05,positive
"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004",positive
"Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008",negative
"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 %",negative
The orders also include a few high-power drives for the control of seismic compressors,neutral
Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier,negative
The company is well positioned in Brazil and Uruguay,positive
An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com,neutral
"Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business",positive
"Therefore , the company 's 2005 result will remain weaker than that of 2004",negative
Finnish Outokumpu Technology has been awarded several new grinding technology contracts,positive
Lemcon signed an investment cooperation agreement with the Kaluga regional administration last November,positive
"A total of 15,000 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed between 17 and 23 March 2006 exercising the A-B-C options based on the company 's stock option plan 1999",neutral
"Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn",negative
financial items,positive
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009",negative
Cash flow from business operations totalled EUR 0.4 mn compared to a,negative
Jon Risfelt is 49 years old holds a Master of Science in Chemical Engineering from the Swedish Royal Institute of Technology,neutral
"The chain posted sales of 298 million euros for full 2005 , a rise of 19.5 percent , year-on-year",positive
"The fair value of investment properties totalled EUR 2,299.9 mn , compared to EUR 2,229.5 mn in the corresponding period in 2009",positive
"The Group 's revenue amounts to over EUR 80 million , about half of which is accounted for by exports",neutral
"Cash flow after investments amounted to EUR45m , down from EUR46m",negative
The agreement strengthens our long-term partnership with Nokia Siemens Networks,positive
"As part of the agreement , Aspocomp will also give Meadville a 10 pct slice of a subsidiary operating in Oulu , Finland",neutral
"When new types of network elements are added to the network , the conversion file is updated by adding the information required for converting the message format of the new network element type to the format understood by the management system",neutral
Reported operating margin was a,negative
"Cash flow after investments amounted to EUR45m , down from EUR46m",negative
"The firm 's UK head office is in Rugby Road , Lutterworth",neutral
down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009,negative
"`` Every partner will be allowed to buy a quantity of electricity corresponding to their share in the consortium , at production cost , '' a letter of intent said",neutral
The Symbian Foundation plans to revise its procedures for testing and signing software after digitally signing a trojan for its Symbian mobile phone operating system by mistake,neutral
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009",negative
"Kesko pursues a strategy of healthy , focused growth concentrating on sales and services to consumer-customers",positive
Fiskars will be undertaking community projects throughout the UK and they are also on the lookout for local volunteers who are interested in helping out with the selected restoration projects,neutral
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea",positive
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units",positive
Exel wants to serve its industrial customers with individual products,neutral
7 March 2011 - Finnish IT company Digia Oyj HEL : DIG1V announced today an agreement with mobile-phone major Nokia Oyj HEL : NOK1V to acquire the commercial licensing and service business related to Nokia 's Qt technology,positive
"The Lemminkainen Group , headquartered in Helsinki , Finland , operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry",neutral
Metso 's delivery will include a complete coated board line with related air systems and two winders,neutral
Operating profit fell to EUR 23.26 mn from EUR 32.86 mn,negative
"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn",negative
"mn , and pretax profit to EUR 46.4 mn from EUR 35.8 mn in the third quarter of 2006",positive
Metso estimates the need for personnel reductions to amount to 25 people,negative
"According to CEO Hannu Syrj+ñnen , a new common name and visual identity is required as the group has grown and internationalised",neutral
"Temporary lay-offs , affecting the entire workforce , will also be implemented",negative
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010",negative
This resulted in improved sales figures in Sweden,positive
Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier,negative
It includes options for additional 30 communal building sites as well as construction supervision works for all construction sites,neutral
The properties were purchased from Swedish private equity real estate firm Niam and Goldman Sachs ' Whitehall Street Real Estate Funds,neutral
"In 2007 , almost two thirds of Orion 's net sales came from these drugs",neutral
"H+Ñkan Dahlstr+Âm , head of mobility services at TeliaSonera , has forecast that mobile data volume on the TeliaSonera network in Sweden will rise eight-fold to 200,000 TB by 2014",positive
Stora Chief Executive Jouko Karvinen has described the Russian tariff hikes as a threat to the future of the forest products industry in Finland,negative
5.9 %,negative
"`` Small firms are suffering at the moment because they are likely to have money trouble , '' he added",negative
"The contract comprises a log handling line , a peeling line , and a veneer drying and grading line",neutral
The company has some 410 employees and an annual turnover of EUR65 .4 m. Vaahto Group is listed on the Nordic Exchange in Helsinki,neutral
In July it and Quadriga Capital sold their Lewa GmbH pump-making business to Japan 's Nikkiso Co.,neutral
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be,negative
"At present , the trade mark Pit-Produkt is little-known outside the North-West of Russia",negative
Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006,positive
'' to `` buy '' in May,positive
Operating profit excluding non-recurring items totaled EUR 5.4 mn compared to EUR 5.5 mn in the corresponding period in 2007,negative
Orion Pharma 's operating profit increased by 42.5 % from 2004,positive
"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year",positive
The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 %,positive
A total of $ 78 million will be invested in the project,neutral
"In addition , Kone signed a two-year maintenance contract for the escalators",positive
"The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo",positive
"( ADP News ) - Feb 9 , 2009 - Finnish computer services company Proha Oyj ( HEL : ART1V ) said today its net loss narrowed to EUR 113,000 ( USD 146,000 ) for 2008 from EUR 1.2 million for 2007",positive
"The total investment in the Vantaa plant extension will amount to around 10 million euro , and Okmetic 's share of the investments will be worth around 2.7 million",neutral
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008,negative
"Savon koulutuskuntayhtyma , Finland based company has awarded contract for specialist agricultural or forestry machinery",positive
"According to the company , a decision in the issue will be made in the summer of 2010 , at the earliest , and in the summer of 2011 , at the latest",neutral
"The shopping center to be opened in St. Petersburg , Russia in November 2010 will turn the cash flow of Finnish department store chain Stockmann 's Russian operations",positive
The chain is to unite 45-50 centres by the end of 2008,neutral
The hack had been extra nefarious because the tweets activated without being clicked on - it was enough for Web surfers to move their mouse cursors over them,negative
"- The Group -¦ s sales during the period were EUR 31.6 million EUR 36.6 million , 1-6/2007 and profit before taxes was EUR 0.2 1.3 million",neutral
"Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn",positive
Net profit fell by almost half to +é 5.5 million from +é 9.4 million at the end of 2007,negative
"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007",positive
Last year 's third quarter result had been burdened by costs stemming from restructuring in the US,negative
Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '',negative
The products have a low salt and fat content,neutral
A CUT ABOVE Bring the outdoors in with these birch-branch coasters,neutral
"( ADPnews ) - Feb 3 , 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from a@",negative
"Operating profit for the 12-month period decreased from EUR28 .2 m while net turnover increased from EUR313 .42 m , as compared to the financial year 2004",negative
The measures taken will cause one-time costs during the final part of 2006,neutral
Raute said it has won an order worth around 15 mln eur to supply several plywood production lines to mills operated by Russian wood products company Sveza Group,positive
Previously the company has estimated its operating profit to reach the level of 2005 only,positive
What we think ?@,neutral
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009,positive
The transactions would increase earnings per share in the first quarter by some EUR0 .28,positive
"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan",negative
"The company reported a profit of 800,000 euro ($ 1.2 mln)on the sale of its Varesvuo Partners sub-group and a loss of 400,000 euro $ 623,000 caused by the sale of its program production subsidiary Oy Filmiteollisuus Fine Ab",neutral
credit 20 November 2009 - Finnish glass technology company Glaston Oyj Abp ( HEL : GLA1V ) said today it concluded a EUR74m revolving credit facility agreement with its core banks,positive
Scanfil has also issued a profit warning,negative
Satama 's net sales would be higher than the year before,positive
- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red,negative
The financial statements release will be available after publishing on the Company 's internet pages at www.cargotec.com,neutral
"The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most",negative
The group 's net sales in 2007 were EUR683 .6 m,neutral
That topped consensus forecasts for earnings of 0.21 euros a share,positive
"`` We cut our frequency to New York last year , which explains the fall , '' he said",negative
"By combining its existing solutions into a single platform , Comptel said that it has reduced the cost of deployment",positive
"Virala Oy Ab was allocated by the Board of Directors an amount of EUR 1,9 million which is EUR 0,25 million lower than maximum announced on 12/30/2010",neutral
Pharmaceutical market in Belgium Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Belgium,neutral
"Koduextra is operating a retail chain of 11 stores , controlled by Finnish Non-Food Center KY , Rukax OY , and Scan-Tukka OY",neutral
"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's market share from 27 % to a third in a couple of years",positive
The Group 's order portfolio decreased from EUR 42.9 mn in 9-2007 to EUR 33.3 mn in 2-2008,negative
"20 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj HEL : LAT1V , or L&T , said Monday it expects its operating profit , excluding non-recurring items , for the whole 2010 to be slightly lower than in 2009",negative
BM4 middle layer headbox will be equipped with a dilution control system,neutral
He said he has been losing five families a month to the economy as many make alternative arrangements to save money,negative
Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005,negative
The business development initiatives in North America are headed by Lynn Shanahan,neutral
"( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007",negative
"According to Finnish Aktia Bank 's Managing Director Jussi Laitinen , the bank 's aim is to triple the number of its customers in Finland in the next five years",positive
"A total of 15,000 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed between 17 and 23 March 2006 exercising the A-B-C options based on the company 's stock option plan 1999",neutral
"According to PKC , the acquisition would bring a significant addition to PKC 's customer base",positive
"For 2009 , Incap expects revenue of some EUR 70 million",neutral
Metso 's delivery will include a complete coated board line with related air systems and two winders,neutral
Sanoma News ' advertising sales decreased by 22 % during the year,negative
"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers",negative
"According to Eijkens , a publisher can do much more than just publish colourful books : a publisher can provide value added to information by individualising it",neutral
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 %",positive
"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 %",negative
"Therefore , the company 's 2005 result will remain weaker than that of 2004",negative
`` The Government has had a very professional approach in assessing the offer,positive
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005",positive
"Its customers include local companies Slo Oy , Kiilto Oy , Toptronics Oy , Normark Suomi Oy , Pellonpaja Oy and Mansner Oy",neutral
"In a release , the Company said that Vocollect T2 customers in North America can now take advantage of its Voice Directed Warehousing solution and increase warehouse efficiency and productivity gains at a discounted price",positive
The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011,positive
"In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008",negative
"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories",negative
"Operating loss was EUR 179mn , compared to a loss of EUR 188mn in the second quarter of 2009",positive
"In August , Latvijas Finieris ordered all production lines for a new green veneer mill to be built in Ukmerge , Lithuania",neutral
"The Web-Marela application handles invitations to quote , quote comparisons , agreements , purchases , invoice inspections , inventory management , and deliveries",neutral
"In 2008 , the steel industry accounted for 64 percent of the cargo volumes transported , whereas the energy industry accounted for 28 percent and other industries for 8 percent",neutral
"The repayment of EUR 105 million debenture bonds is related to the Company 's previous announcement on October 21 , 2009 to collect irrevocable selling commitments from the holders of its subordinated debenture bonds",neutral
"The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most",negative
Pretax profit rose to EUR 0.6 mn from EUR 0.4 mn in the corresponding period in 2005,positive
"However , its market share shrank to 47.59 per cent from 48 per cent a year earlier",negative
Pharmaceuticals group Orion Corp reported a fall in its third-quarter earnings that were hit by larger expenditures on R&D and marketing,negative
"The product advisory does not apply to any other Nokia-branded battery , the company said",neutral
"`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''@",positive
Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re-routing,negative
There have not been previous share subscriptions with 2004 stock options,neutral
"The important thing now is to keep the bank 's existing 15,000 customers",neutral
"impact of around EUR2m on earnings , which Ruukki will recognize during the fourth quarter of this year",positive
"The period-end cash and cash equivalents totaled EUR6 .5 m , compared to EUR10 .5 m in the previous year",negative
"Stora Enso 's business in North America has annual capacity of about 3 million tons and employs about 4,350 people",neutral
Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 %,negative
"Publishing Sweden 's operating loss was EUR 1.1 mn in Q1 of 2009 , compared to a profit of EUR 0.6 mn a year ago",negative
"Finnish construction group YIT has been awarded a contract to install heating , air conditioning and cooling systems to the new head office of the automobile association ADAC in Munich in Germany",positive
"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010",neutral
"The Annual Report will be sent automatically to shareholders holding at least 2,000 Sampo plc shares",neutral
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008",negative
Central Europe is an important market area for Honka,neutral
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009",negative
An individual promotion also generated slightly higher-than-expected revenues,positive
"The alliance aims to tap pocketable mobile computers , netbooks , tablets , mediaphones , connected TVs and in-vehicle infotainment systems",neutral
Finnish-Swedish TietoEnator is expanding its business quickly in Russia,positive
The turbines are expected to be launched by the end of 2012,neutral
"Bilfinger investors cheered the agreement , pushing shares up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade",positive
"EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009",negative
Terms were not disclosed,neutral
In Sweden the agreement covers data communication services as well,neutral
Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million,negative
The company is listed on the Nordic Exchange in Helsinki,neutral
"In addition a reduction of nine persons will be made through pension or other arrangements , the company added",neutral
"VDW combined with LXE devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions",positive
"ADPnews - Sep 28 , 2009 - Finnish silicon wafers maker Okmetic Oyj HEL : OKM1V said it will reduce the number of its clerical workers by 22 worldwide as a result of personnel negotiations completed today",negative
"On top of that , the US Commerce Department published worse-than-expected construction spending figures for November",negative
"In 2007 , almost two thirds of Orion 's net sales came from these drugs",neutral
"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008",negative
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn,positive
in Q1 2010 18 May 2010 - Finnish electrical components maker Salcomp Oy ( HEL : SAL1V ) said today it turned to a net profit of EUR1 .6 m in the first quarter of 2010 versus a loss of EUR2m in the corresponding period last year,positive
"In Q1 of 2009 , Bank of +àland 's net interest income weakened by 10 % to EUR 9.1 mn",negative
"Net sales will , however , increase from 2005",positive
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said",positive
"` After fixing our home-base , cutting costs and closing the non-profitable units , we are now looking at going forward , ' she said",positive
Reported operating margin was a,negative
"Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008",negative
"Entire paper mills may be set up , especially in the new EU member states",neutral
Salonen added that data shows producers ' pulp inventories in North America are declining . '@,negative
Ixonos will finance the acquisition through a 3.8 mln euro $ 5.2 mln loan,neutral
"Meanwhile , Nokia said that it will be able to deliver a complete range of services from deployment operations to consulting and integration to managed services as a result of the buyout",positive
This transaction will also rationalize our pulp and paper industry related solutions,positive
"The company is in the process of building a new fleet and has placed orders for 10 P-Max tankers of 65,200 dwt",positive
"Previously , the company anticipated its operating profit to improve over the same period",positive
"In the sinter plant , limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnaces as a raw material for iron-making",neutral
The operating margin came down to 2.4 % from 5.7 %,negative
"HELSINKI Thomson Financial - Shares closed little changed , with Cargotec and Huhtamaki dropping sharply on disappointing second-quarter reports",negative
`` We are pleased to welcome Tapeks Noma into Cramo group,positive
"After non-recurring items of EUR 177mn , profit amounted to EUR 20mn",neutral
Cash flow from business operations totalled EUR 0.4 mn compared to a,negative
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005,negative
"Ruukki Romania , the local arm of Finnish metal producer Ruukki , increased its capital by 900,000 euro ( $ 1.14 mln ) through cash contribution , it was reported on September 19 , 2006",positive
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m",negative
"( ADP News ) - Dec 11 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) said yesterday it opened a technology research and development ( R&D ) laboratory at Helsinki University of Technology",neutral
Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide,neutral
The total capital of funds managed by the bank decreased by 28 % to EUR 284mn by the end of September 2008,negative
"CapMan , with offices in Helsinki , Stockholm , Copenhagen and Oslo , manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EUR2 .6 bn in total capital",neutral
"More than 50,000 tonnes of asphalt mix will be used in the contract",neutral
"The company reported a profit of 800,000 euro ($ 1.2 mln)on the sale of its Varesvuo Partners sub-group and a loss of 400,000 euro $ 623,000 caused by the sale of its program production subsidiary Oy Filmiteollisuus Fine Ab",neutral
"` Sanoma is a buyer not a target , ' he said",neutral
`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . ''@,negative
"The program included operational improvements and reductions in personnel , mainly in the Netherlands",neutral
HELSINKI AFX - Outokumpu Technology said it has signed a 3.5 mln eur agreement with Mongolia 's Erdenet Mining Corporation for the engineering of the first HydroCopper plant to be built at the Erdenet mine site,positive
Martela is a front runner in providing innovative solutions and customer service Martela designs and supplies interior solutions for working environments and public spaces,neutral
"The Polish business employs about 1,000 people , and it had net sales of about EUR 70mn in 2007",neutral
"The company , which celebrates its fiftieth anniversary next year , has been exporting distinctive detached homes to Central Europe for several decades",positive
